"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,8,2,3618.36,0,224.43,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,8,3,3041.65,0,14.31,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,8,4,0,2136.11,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,8,5,0,807.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,9,2,1463.02,0,409.12,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,9,3,1760.37,0,39.37,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,9,4,0,950.52,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,9,5,0,69.76,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,10,4,0,408.83,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,10,5,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,11,2,365.75,0,112.17,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,11,3,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
